,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
880,8.65704,53.1526,7.14161,15.2567,2.78049,1.83984,1.83984,2.78049,15.2567,7.14161,53.1526,8.65704
881,4.98449,35.346,5.75267,5.53891,3.14821,2.45932,2.45932,3.14821,5.53891,5.75267,35.346,4.98449
882,0.12944,9.43848,0.513161,0.221052,0.279634,0.530716,0.530716,0.279634,0.221052,0.513161,9.43848,0.12944
883,0.00719424,3.64684,0.0,0.14548,0.1663,0.140867,0.140867,0.1663,0.14548,0,3.64684,0.00719424
884,0.171672,9.49148,1.10259,2.83269,1.23077,0.535228,0.535228,1.23077,2.83269,1.10259,9.49148,0.171672
885,0.826013,10.2233,2.07523,4.36924,0.0186885,0.0612474,0.0612474,0.0186885,4.36924,2.07523,10.2233,0.826013
886,0.0134836,6.93111,0.474452,0.63574,0.135981,0.238888,0.238888,0.135981,0.63574,0.474452,6.93111,0.0134836
887,0.242844,10.4639,0.913548,0.453862,0.260902,0.0401274,0.0401274,0.260902,0.453862,0.913548,10.4639,0.242844
888,2.32784,27.2601,1.75221,5.86332,3.43858,2.87128,2.87128,3.43858,5.86332,1.75221,27.2601,2.32784
889,8.02652,56.6717,15.4674,27.2772,6.42998,5.82403,5.82403,6.42998,27.2772,15.4674,56.6717,8.02652
890,52.4055,260.531,54.3659,77.9353,26.9985,16.8208,16.8208,26.9985,77.9353,54.3659,260.531,52.4055
891,103.726,316.282,145.61,127.516,62.0159,38.3897,38.3897,62.0159,127.516,145.61,316.282,103.726
892,43.6955,230.999,78.6153,109.65,45.984,34.6971,34.6971,45.984,109.65,78.6153,230.999,43.6955
893,3.04272,18.4607,0.8941,3.25976,3.82072,0.826755,0.826755,3.82072,3.25976,0.8941,18.4607,3.04272
894,98.0468,262.36,107.747,100.334,66.5234,39.5521,39.5521,66.5234,100.334,107.747,262.36,98.0468
895,31.512,90.6525,37.7011,22.6739,21.8673,13.7538,13.7538,21.8673,22.6739,37.7011,90.6525,31.512
896,19.8881,67.0575,25.5814,25.026,31.7052,21.2007,21.2007,31.7052,25.026,25.5814,67.0575,19.8881
897,7.19181,35.7218,10.8763,9.5446,18.4283,8.23951,8.23951,18.4283,9.5446,10.8763,35.7218,7.19181
898,0.393267,9.91517,2.20832,0.811488,3.20117,0.683821,0.683821,3.20117,0.811488,2.20832,9.91517,0.393267
899,7.26638,61.3341,9.58888,11.7577,13.8679,8.57286,8.57286,13.8679,11.7577,9.58888,61.3341,7.26638
900,15.7088,66.9511,24.853,33.8198,29.1457,22.8697,22.8697,29.1457,33.8198,24.853,66.9511,15.7088
901,0.591732,14.2769,0.328633,2.17878,4.36018,2.0096,2.0096,4.36018,2.17878,0.328633,14.2769,0.591732
902,5.69526,50.6403,22.2479,28.8306,11.72,9.38,9.38,11.72,28.8306,22.2479,50.6403,5.69526
903,3.36913,17.154,5.60741,5.00522,5.1064,1.89354,1.89354,5.1064,5.00522,5.60741,17.154,3.36913
904,0.559647,9.74058,1.30203,5.99796,2.96244,1.55906,1.55906,2.96244,5.99796,1.30203,9.74058,0.559647
905,1.22387,10.9092,0.609014,5.23294,2.09404,1.81064,1.81064,2.09404,5.23294,0.609014,10.9092,1.22387
906,0.135603,16.1591,0.567113,3.28185,1.55455,1.41178,1.41178,1.55455,3.28185,0.567113,16.1591,0.135603
907,1.88431,27.9561,2.21588,5.22251,6.85229,2.10891,2.10891,6.85229,5.22251,2.21588,27.9561,1.88431
908,3.52033,10.501,1.54944,6.81262,1.5643,0.682311,0.682311,1.5643,6.81262,1.54944,10.501,3.52033
909,19.0512,98.5438,30.0663,41.1622,9.76538,12.7531,12.7531,9.76538,41.1622,30.0663,98.5438,19.0512
910,0.526827,9.05081,2.21796,1.18353,2.89039,1.09864,1.09864,2.89039,1.18353,2.21796,9.05081,0.526827
911,0.479718,5.77514,0.19001,0.897617,0.9689,0.0248782,0.0248782,0.9689,0.897617,0.19001,5.77514,0.479718
912,64.9538,204.463,114.332,86.4234,78.3032,24.6218,24.6218,78.3032,86.4234,114.332,204.463,64.9538
913,0.236806,6.47972,0.517983,2.29073,0.811238,0.300147,0.300147,0.811238,2.29073,0.517983,6.47972,0.236806
914,12.8199,51.2549,16.8189,12.8005,18.927,9.10308,9.10308,18.927,12.8005,16.8189,51.2549,12.8199
915,1.03331,16.8741,1.27585,5.39058,0.424545,1.36684,1.36684,0.424545,5.39058,1.27585,16.8741,1.03331
916,5.12075,32.2821,5.74658,8.4736,4.46358,1.1847,1.1847,4.46358,8.4736,5.74658,32.2821,5.12075
917,39.6856,134.072,26.5926,18.5044,16.0898,8.8163,8.8163,16.0898,18.5044,26.5926,134.072,39.6856
918,5.53697,48.796,5.79595,4.98717,39.4317,41.4135,41.4135,39.4317,4.98717,5.79595,48.796,5.53697
919,5.27981,58.0365,11.5238,19.2657,6.63679,11.6225,11.6225,6.63679,19.2657,11.5238,58.0365,5.27981
920,418.523,879.436,343.249,194.356,293.334,206.417,206.417,293.334,194.356,343.249,879.436,418.523
921,2.70692,16.5843,3.1604,8.24518,6.35986,5.15201,5.15201,6.35986,8.24518,3.1604,16.5843,2.70692
922,15.1905,82.9883,17.8879,27.0206,21.0501,15.4712,15.4712,21.0501,27.0206,17.8879,82.9883,15.1905
923,3.903,25.1783,2.82141,7.15468,2.34626,1.81931,1.81931,2.34626,7.15468,2.82141,25.1783,3.903
924,32.0486,173.358,41.6087,52.6371,70.0338,42.1195,42.1195,70.0338,52.6371,41.6087,173.358,32.0486
925,3.94987,34.7646,20.5479,18.3104,5.12856,1.8585,1.8585,5.12856,18.3104,20.5479,34.7646,3.94987
926,4.67196,41.8077,5.06305,6.8189,4.39171,3.17549,3.17549,4.39171,6.8189,5.06305,41.8077,4.67196
927,64.5125,194.262,79.6488,36.7544,37.0999,23.3473,23.3473,37.0999,36.7544,79.6488,194.262,64.5125
928,3.12024,35.1783,13.5393,9.61243,11.2461,6.49557,6.49557,11.2461,9.61243,13.5393,35.1783,3.12024
929,104.387,292.128,143.833,69.6878,16.3899,8.08365,8.08365,16.3899,69.6878,143.833,292.128,104.387
930,138.413,480.073,183.669,146.299,48.5534,39.0372,39.0372,48.5534,146.299,183.669,480.073,138.413
931,201.187,625.701,290.821,178.849,100.699,74.3729,74.3729,100.699,178.849,290.821,625.701,201.187
932,87.7902,328.242,72.665,72.7162,44.8507,36.4684,36.4684,44.8507,72.7162,72.665,328.242,87.7902
933,222.874,827.765,366.056,301.568,103.487,75.2213,75.2213,103.487,301.568,366.056,827.765,222.874
934,287.669,564.135,267.401,101.742,160.857,115.807,115.807,160.857,101.742,267.401,564.135,287.669
935,1.39894,12.2337,1.82748,1.03867,3.24551,3.24251,3.24251,3.24551,1.03867,1.82748,12.2337,1.39894
936,0.528395,10.8077,2.24436,2.42138,10.5662,2.76931,2.76931,10.5662,2.42138,2.24436,10.8077,0.528395
937,138.334,523.294,211.732,221.07,39.4884,31.813,31.813,39.4884,221.07,211.732,523.294,138.334
938,7.23508,43.951,15.1085,9.68693,23.452,15.268,15.268,23.452,9.68693,15.1085,43.951,7.23508
939,1.68795,18.6766,1.84721,1.17708,0.352478,0.767747,0.767747,0.352478,1.17708,1.84721,18.6766,1.68795
940,3.29678,19.6112,16.4408,12.8884,1.88534,2.58378,2.58378,1.88534,12.8884,16.4408,19.6112,3.29678
941,1.54095,16.4518,2.57884,4.23086,3.17587,1.09269,1.09269,3.17587,4.23086,2.57884,16.4518,1.54095
942,233.621,548.693,210.578,139.187,225.64,137.233,137.233,225.64,139.187,210.578,548.693,233.621
943,7.3532,21.9534,10.5951,5.49244,7.89862,2.09982,2.09982,7.89862,5.49244,10.5951,21.9534,7.3532
944,2.01935,20.9627,1.59272,2.36156,10.3264,12.0708,12.0708,10.3264,2.36156,1.59272,20.9627,2.01935
945,123.249,309.777,108.106,81.8914,50.9055,36.9705,36.9705,50.9055,81.8914,108.106,309.777,123.249
946,203.578,530.518,167.15,124.769,119.193,69.4706,69.4706,119.193,124.769,167.15,530.518,203.578
947,2.38928,23.5632,5.00383,8.7265,2.73949,1.16454,1.16454,2.73949,8.7265,5.00383,23.5632,2.38928
948,1.17754,12.9972,2.13285,1.59168,6.23222,4.04451,4.04451,6.23222,1.59168,2.13285,12.9972,1.17754
949,7.03938,27.1644,1.8628,2.9238,2.93031,3.54124,3.54124,2.93031,2.9238,1.8628,27.1644,7.03938
950,64.1165,275.517,69.3616,93.5668,25.0085,15.3577,15.3577,25.0085,93.5668,69.3616,275.517,64.1165
951,77.992,247.966,133.564,121.479,47.8138,29.726,29.726,47.8138,121.479,133.564,247.966,77.992
952,0.311295,16.4449,3.14482,4.41547,1.54768,1.46727,1.46727,1.54768,4.41547,3.14482,16.4449,0.311295
953,7.41753,30.5748,15.4654,17.6269,13.8497,8.31429,8.31429,13.8497,17.6269,15.4654,30.5748,7.41753
954,27.1051,126.001,27.0453,42.2696,47.0445,37.6841,37.6841,47.0445,42.2696,27.0453,126.001,27.1051
955,23.3014,125.906,31.7937,57.4806,31.8541,22.6869,22.6869,31.8541,57.4806,31.7937,125.906,23.3014
956,8.69628,42.4342,5.34932,7.295,12.1501,6.66459,6.66459,12.1501,7.295,5.34932,42.4342,8.69628
957,1.74433,14.215,0.923932,2.72683,4.83458,1.87922,1.87922,4.83458,2.72683,0.923932,14.215,1.74433
958,0.696425,10.8562,1.47569,0.953023,0.589006,0.519605,0.519605,0.589006,0.953023,1.47569,10.8562,0.696425
959,0.564145,1.94651,0.300487,0.270988,3.35548,0.155557,0.155557,3.35548,0.270988,0.300487,1.94651,0.564145
960,3.34175,23.3259,26.0885,12.5064,12.9596,8.31131,8.31131,12.9596,12.5064,26.0885,23.3259,3.34175
961,1.42564,10.1172,1.26389,2.88612,0.227417,0.332046,0.332046,0.227417,2.88612,1.26389,10.1172,1.42564
962,2.61851,12.4175,1.28236,3.23398,0.456769,0.0361728,0.0361728,0.456769,3.23398,1.28236,12.4175,2.61851
963,1.24181,19.5493,6.5171,1.58997,3.57628,2.05681,2.05681,3.57628,1.58997,6.5171,19.5493,1.24181
964,30.2202,90.9768,20.8378,12.5422,47.4371,26.9199,26.9199,47.4371,12.5422,20.8378,90.9768,30.2202
965,29.556,135.074,30.61,42.6046,10.6805,10.1004,10.1004,10.6805,42.6046,30.61,135.074,29.556
966,108.268,308.912,131.029,113.907,64.6934,37.8054,37.8054,64.6934,113.907,131.029,308.912,108.268
967,2.60873,18.8017,4.03499,7.32308,24.3503,15.7307,15.7307,24.3503,7.32308,4.03499,18.8017,2.60873
968,6.94806,43.1587,49.6547,61.0728,16.0251,9.23698,9.23698,16.0251,61.0728,49.6547,43.1587,6.94806
969,4.60247,48.6132,3.66735,22.0895,12.4498,14.014,14.014,12.4498,22.0895,3.66735,48.6132,4.60247
