,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,GSM759878_E10_5_hindlimb_H3K27me3_ChIP_seq_rep1_1_all_RPM.csv,GSM759864_E10_5_forelimb_H3K27ac_ChIP_seq_rep1_index_6_1_all_RPM.csv,GSM1036127_ChIPSeq_Smc1a_e11_5limb_rep1_1_all_RPM.csv,ENCFF002DTF_limb_H3K36me3-mouse_115_day_b1_t1_all_RPM.csv,ENCFF002BGH_limb_H3K4me2-mouse_115_day_b2_t1_all_RPM.csv,ENCFF001ZUQ_limb_H3K4me3-mouse_115_day_b1_t1_all_RPM.csv,ENCFF001ZTO_limb_H3K27me3-mouse_115_day_b1_t1_all_RPM.csv,ENCFF001ZSS_limb_H3K9ac-mouse_115_day_b1_t1_all_RPM.csv,ENCFF001ZRY_limb_H3K4me1-mouse_115_day_b1_t1_all_RPM.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
10,0.198752,0.393048,0.14082,0.0588235,0.00544478,0.00307194,0.00368662,0.00167055,0.00423145,0.000386075,0.000800597,0.00117359,0.00176612,0.00117359,0.00303818,0.00322233,0.000466894,0.00131502,0.0042406,0.000604639
11,0.0691072,0.070975,0.0257751,0.0153157,0.00436348,0.00389738,0.00394015,0.000724314,0.00161228,0.00165859,0.000898411,0.000922278,0.00251422,0.000922278,9.79522e-05,0.000594247,0.00148163,0.00225056,0.00253906,0.00076026
12,0.027768,0.0629174,0.0256591,0.0274165,0.00294958,0.00173539,0.00184163,0.000817851,3.79269e-05,0.00159871,0.000254626,0.00144636,0.000996737,0.00144636,0.000322588,0.00238912,0.000526091,0.00263628,0.00290371,0.000238455
13,0.0411342,0.0495208,0.0758786,0.0435304,0.00249333,0.00223213,0.00115634,0.00206495,0.00140049,0.000691974,0.000138865,0.00105173,0.00259241,0.00105173,0.000837757,0.000808568,0.00271969,0.00443156,0.00300682,0.000812786
14,0.0619504,0.0635138,0.0904827,0.054915,0.00543147,0.00529763,0.0019266,0.0012631,0.00171859,0.00486761,0.00134774,0.00181741,0.00546831,0.00181741,0.0006918,0.00107397,0.00147713,0.00484776,0.00499147,0.000530315
15,0.0437882,0.0543109,0.0465037,0.0502376,0.00537788,0.00415812,0.00376758,0.00278628,0.00252724,0.00213206,0.00040327,0.00240245,0.00579858,0.00240245,0.00129062,0.000932703,0.00104151,0.00660472,0.00969033,0.00046056
16,0.13513,0.15796,0.16269,0.103661,0.015354,0.00407144,0.00228287,0.00228648,0.00448297,0.00196007,0.00142439,0.0016419,0.00179188,0.0016419,0.0016719,0.00116004,0.00153921,0.00917352,0.00975373,0.00069766
17,0.0423497,0.0334699,0.0505464,0.0177596,0.00564022,0.00238613,0.000941801,0.00198667,0.00121611,0.000221914,0.000395853,0.001574,0.00301046,0.001574,0.000447777,0.000197566,0.00178912,0.00153273,0.00337497,0
18,0.0369231,0.0576923,0.0246154,0.0169231,0.00232381,0.00254384,0.000901521,0.00178983,0.000622512,0.00149946,0.000936162,0.0010129,0.00105124,0.0010129,0.000605118,0.0010012,0.000690798,0.00373592,0.0056106,0.0010437
19,0.122613,0.21005,0.0693467,0.0261307,0.00485782,0.00379171,0.000623577,0.000779492,0.00168089,0.00174141,0.000378587,0.000827115,0.00175119,0.000827115,0.00118591,0.000872068,0.0006017,0.0013284,0.00344189,0.00340907
