,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
1711,56.1992,143.492,61.1634,43.6849,31.9805,38.9807,0.0671186,0.463047,0.00843605,0.108401,0.0959495,0.249933,0.0419965
1712,0.989205,29.5095,2.10776,5.24433,2.64823,2.29311,0.0867663,0.0547292,0.0163341,0.107964,0.314395,0.279068,0.032305
1713,14.6362,61.4723,15.4391,14.4485,8.98834,5.14843,0.000411489,0.000910479,0.0,0.0,0.00791577,0.0109472,0.0113067
1714,13.4313,58.8958,12.1137,25.6792,18.4742,21.161,0.0322334,0.0328633,0.0845923,0.0302672,0.0145853,0.000130713,0.0226135
1715,0.898147,8.2266,0.568918,1.80437,1.15377,0.184745,0.00210076,0.00961466,0.00072309,0.00349237,0.0735745,0.0432192,0.350509
1716,2.51672,18.0236,3.62914,2.59449,2.52126,4.33212,0.0195392,0.0663791,0.0197888,0.0845604,0.269418,0.102258,0.0470123
1717,18.077,101.715,107.839,75.938,24.8278,19.5923,0.443173,0.800766,0.463237,1.13363,1.9336,3.49409,0.599258
1718,4.95835,48.7093,13.5746,22.9732,4.84584,8.07684,0.224371,0.134543,0.257841,0.583094,0.266819,0.419895,0.0339203
1719,1.42264,21.6263,3.17009,4.7728,3.22513,0.433324,0.0102953,0.015783,0.0345889,0.0534899,0.217053,0.104185,0.0347
1720,10.6191,51.4962,30.634,39.467,22.1812,10.6178,0.209153,0.0523319,0.16895,0.618993,0.372496,0.612704,0.0226135
1721,2.47832,24.8986,3.0994,5.92904,5.61201,1.87811,0.0984145,0.00208064,0.00144618,0.134602,0.0518861,0.0621656,0.0
1722,0.20364,12.9062,1.25075,3.22378,1.1185,0.478311,0.108585,0.015584,0.125338,0.0596196,0.0780457,0.249852,0.0209983
1723,1.74009,20.9792,3.92528,8.05012,4.95857,3.14449,0.0422065,0.0164979,0.0591872,0.194152,0.104938,0.0766655,0.0096915
1724,4.43484,23.8495,10.2737,11.5349,9.20676,4.17698,0.14421,0.0865944,0.010531,0.255963,0.0785671,0.100682,0.0
1725,18.961,93.2135,31.7654,37.7303,22.1398,15.5996,0.242031,0.0257119,0.0455725,0.163278,0.233323,0.405513,0.0113067
1726,0.999029,17.7076,7.38783,6.10653,12.8953,5.60089,0.0317762,0.175248,0.00256725,0.153632,0.0785973,0.0715801,0.0
1727,5.78704,48.705,15.9796,28.6686,7.8614,2.8491,0.240214,0.0304854,0.185463,0.24033,0.16117,0.655132,0.0339203
1728,1.17755,10.2117,1.46971,2.85844,2.52691,0.603609,0.0451779,0.0340841,0.00181868,0.107384,0.0770895,0.0395945,0.0
1729,113.755,252.833,145.437,73.111,51.8755,49.4903,0.798532,0.58752,0.670971,1.26138,4.45795,5.48983,0.0226135
1730,12.1497,77.0255,63.6782,89.6117,11.4895,6.94597,0.165187,0.308873,0.21199,0.519547,1.28154,1.40181,0.15151
1731,2.94677,38.0834,6.10334,20.731,2.2462,0.68055,0.264575,0.413855,0.00531306,0.193116,0.621454,0.91825,0.0339203
1732,2.82897,26.9085,11.729,18.6308,1.49581,0.679459,0.0548306,0.0,0.00144618,0.0273256,0.265766,0.114025,0.0
1733,2.1734,42.5829,5.19385,11.6063,3.4523,3.24962,0.222012,0.00779872,0.427578,0.254836,0.854719,1.72523,0.0306897
1734,1.21657,26.3675,2.13174,14.6111,6.79814,5.67179,0.0124623,0.00733706,0.0160828,0.0655954,0.00256456,0.00461853,0.0226135
1735,9.82058,51.2598,8.17181,18.2803,15.0127,10.4032,0.00899295,0.0013384,0.00101844,0.0744592,0.00622621,0.000525334,0.0
1736,10.2674,51.3573,9.42615,7.88632,39.0114,22.3687,0.128688,0.2148,0.0374149,0.14007,0.232544,0.0842014,0.032305
1737,53.2553,133.609,68.3801,41.4861,23.8836,13.4402,0.0726289,0.174266,0.0374181,0.196131,1.055,1.78733,0.434825
1738,78.883,273.069,91.9646,89.1559,61.1372,46.0685,0.441308,0.457757,0.0696675,0.912786,3.61534,4.60832,0.934099
1739,90.8524,217.03,101.232,49.3795,22.8568,18.2216,0.728199,0.159028,0.647002,0.851849,7.0083,8.68267,1.79293
1740,50.2719,108.799,51.2572,35.1438,67.1623,39.7997,0.541572,0.000655545,0.0292209,0.223304,0.333812,0.471812,0.0236414
1741,162.876,489.364,174.55,120.029,36.7565,28.0947,0.144362,0.102408,0.296263,0.192831,1.43817,2.69425,0.75845
1742,4.60491,24.4315,17.144,17.5586,21.6776,7.98194,0.178596,0.0579742,0.0188877,0.123537,0.0552999,0.103226,0.0226135
